TM SOLVERS:

========================================================================================================================
Model           | Tier       | sharpSAT (s)    | Ganak (s)       | d4 Eval (s)     | d4 Comp (s)    
child           | few_ev     | 0.0697          | MEM_OUT         | INV            
child           | much_ev    | 0.0617          | 0.0083          | 0.0003         
water           | no_ev      | 0.3811          | MEM_OUT         | INV            
water           | few_ev     | 0.3129          | MEM_OUT         | INV            
water           | much_ev    | 0.2415          | MEM_OUT         | INV            
barley          | no_ev      | T/O             | MEM_OUT         | 0.0059         
barley          | few_ev     | T/O             | MEM_OUT         | 0.0069         
barley          | much_ev    | 9.1802          | MEM_OUT         | 0.0018         
hailfinder      | no_ev      | 0.8344          | MEM_OUT         | INV            
hailfinder      | few_ev     | 0.3106          | MEM_OUT         | INV            
hailfinder      | much_ev    | 0.1695          | MEM_OUT         | INV            
win95pts        | no_ev      | 0.0505          | MEM_OUT         | INV            
win95pts        | few_ev     | 0.0549          | MEM_OUT         | INV            
win95pts        | much_ev    | 0.0487          | MEM_OUT         | INV            
andes           | no_ev      | 0.2168          | MEM_OUT         | INV            
andes           | few_ev     | 0.2487          | MEM_OUT         | INV            
andes           | much_ev    | 0.1385          | MEM_OUT         | INV            
link            | no_ev      | 0.4179          | MEM_OUT         | INV            
link            | few_ev     | 0.4693          | MEM_OUT         | INV            
link            | much_ev    | 0.2618          | MEM_OUT         | INV            
pathfinder      | no_ev      | T/O             | MEM_OUT         | INV            
pathfinder      | few_ev     | 53.4994         | MEM_OUT         | INV            
pathfinder      | much_ev    | 2.5065          | MEM_OUT         | INV            
munin2          | no_ev      | 28.6168         | MEM_OUT         | INV            
munin2          | few_ev     | 7.1171          | MEM_OUT         | INV            
munin2          | much_ev    | 2.1582          | MEM_OUT         | INV            
munin           | no_ev      | T/O             | MEM_OUT         | INV            
munin           | few_ev     | 9.0276          | MEM_OUT         | INV            
munin           | much_ev    | 2.7293          | MEM_OUT         | INV 


MPE vs REG RERUN:
===============================================================================================
Model           | Tier       | UWrMaxSat (s)   | Var. Elim (s)   | Hill Climb (s) 
-----------------------------------------------------------------------------------------------
asia            | no_ev      | 0.0216          | 0.0021          | 0.0190         
asia            | few_ev     | 0.0236          | 0.0021          | 0.0159         
asia            | much_ev    | 0.0261          | 0.0022          | 0.0101         
cancer          | no_ev      | 0.0295          | 0.0017          | 0.0090         
cancer          | few_ev     | 0.0314          | 0.0017          | 0.0064         
cancer          | much_ev    | 0.0320          | 0.0016          | 0.0042         
sachs           | no_ev      | 0.0504          | 0.0049          | 0.1499         
sachs           | few_ev     | 0.0507          | 0.0036          | 0.1313         
sachs           | much_ev    | 0.0502          | 0.0029          | 0.0719         
alarm           | no_ev      | 0.0719          | MEM_OUT         | 3.8469         
alarm           | few_ev     | 0.0730          | MEM_OUT         | 3.1938         
alarm           | much_ev    | 0.0696          | MEM_OUT         | 1.9679         
child           | no_ev      | 0.0794          | MEM_OUT         | 0.7241         
child           | few_ev     | 0.0859          | 0.4518 (4 MO)   | 0.5963         
child           | much_ev    | 0.0763          | 0.0082          | 0.3408 
water           | no_ev      | 0.3453          | MEM_OUT         | INV            
water           | few_ev     | 0.2857          | MEM_OUT         | INV            
water           | much_ev    | 0.2163          | MEM_OUT         | INV            
barley          | no_ev      | T/O             | MEM_OUT         | 55.9108  
barley          | few_ev     | 179.3851 (3 TO) | MEM_OUT         | 42.8350 (2/2 MM)
barley          | much_ev    | 12.0932         | MEM_OUT         | 25.0872 (5/5 MM)
hailfinder      | no_ev      | 0.7507          | MEM_OUT         | 0.4588 (4 INV, 1 MM)
hailfinder      | few_ev     | 0.3399          | MEM_OUT         | INV      
hailfinder      | much_ev    | 0.1733          | MEM_OUT         | 0.1828 (4 INV, 1 MM)
win95pts        | no_ev      | 0.0532          | MEM_OUT         | INV     
win95pts        | few_ev     | 0.0543          | MEM_OUT         | 0.2905 (4 INV, 1 MM)
win95pts        | much_ev    | 0.0517          | MEM_OUT         | 0.1605 (3 INV, 2 MM)
andes           | no_ev      | 0.2034          | MEM_OUT         | INV
andes           | few_ev     | 0.2178          | MEM_OUT         | INV            
andes           | much_ev    | 0.1361          | MEM_OUT         | 25.7687 (3 INV, 2 MM)
link            | no_ev      | 0.3785          | MEM_OUT         | INV            
link            | few_ev     | 0.4693          | MEM_OUT         | INV            
link            | much_ev    | 0.2643          | MEM_OUT         | INV            
munin2          | no_ev      | 25.3630         | MEM_OUT         | INV   
munin2          | few_ev     | 6.1692          | MEM_OUT         | INV            
munin2          | much_ev    | 2.0238          | MEM_OUT         | INV            
munin           | no_ev      | T/O             | MEM_OUT         | INV            
munin           | few_ev     | 7.6482          | MEM_OUT         | INV            
munin           | much_ev    | 2.4417          | MEM_OUT         | INV            
pathfinder      | no_ev      | 290.2947        | MEM_OUT         | INV  
pathfinder      | few_ev     | 44.1884         | MEM_OUT         | INV            
pathfinder      | much_ev    | 2.3807          | MEM_OUT         | INV            





MAP old:
===============================================================================================
Model           | Tier            | Ganak-Spam (s)  | DPMC (s)        | Var. Elim (s)  
-----------------------------------------------------------------------------------------------
asia            | fewM_fewE       | 0.1780          | 0.0747          | 0.0031         
asia            | fewM_muchE      | 0.1691          | 0.0727          | 0.0029         
asia            | muchM_fewE      | 0.6763          | 0.0719          | 0.0031         
asia            | muchM_muchE     | 0.6876          | 0.0764          | 0.0034         
cancer          | fewM_fewE       | 0.1868          | 0.0748          | 0.0022         
cancer          | fewM_muchE      | 0.1886          | 0.0753          | 0.0026         
cancer          | muchM_fewE      | 0.7548          | 0.0786          | 0.0024         
cancer          | muchM_muchE     | 0.7678          | 0.0785          | 0.0025         
sachs           | fewM_fewE       | 7.0436          | 0.0916          | 0.0029         
sachs           | fewM_muchE      | 0.5053          | 0.0933          | 0.0035         
sachs           | muchM_fewE      | 26.2822         | 0.0973          | 0.0031         
sachs           | muchM_muchE     | 4.8786          | 0.1023          | 0.0038         
alarm           | fewM_fewE       | 15.7849         | 0.1224          | 0.0069         
alarm           | fewM_muchE      | 15.8365         | 0.1446          | 0.0268         
alarm           | muchM_fewE      | T/O             | 0.1612          | 0.0103         
alarm           | muchM_muchE     | T/O             | 0.1964          | 0.0229         
child           | fewM_fewE       | 1.8926          | 0.0865          | 0.0034         
child           | fewM_muchE      | 3.3602          | 0.1021          | 0.0049         
child           | muchM_fewE      | 4.9373          | 0.1687          | 0.0036         
child           | muchM_muchE     | 17.3527         | 0.1084          | 0.0056 
water           | fewM_fewE       | 10.4112         | 16.6299         | 0.4459         
water           | fewM_muchE      | 6.1285          | 25.4202         | 0.2756         
water           | muchM_fewE      | 61.4484         | 63.3697         | 0.9667         
water           | muchM_muchE     | 38.9919         | 139.1846        | 0.4160         
barley          | fewM_fewE       | T/O             | T/O             | MEM_OUT  
barley          | fewM_muchE      | T/O             | T/O             | MEM_OUT  
barley          | muchM_fewE      | T/O             | T/O             | MEM_OUT  
barley          | muchM_muchE     | T/O             | T/O             | MEM_OUT  
hailfinder      | fewM_fewE       | 102.9864        | 1.7057          | 0.0105         
hailfinder      | fewM_muchE      | 28.4617         | 16.4273         | MEM_OUT        
hailfinder      | muchM_fewE      | T/O             | 47.3291         | 2.3047         
hailfinder      | muchM_muchE     | T/O             | 84.3966         | MEM_OUT        
win95pts        | fewM_fewE       | 4.8763          | 0.1222          | 0.0103         
win95pts        | fewM_muchE      | 1.7667          | 0.1500          | MEM_OUT        
win95pts        | muchM_fewE      | 57.3567         | 0.1255          | 0.0109         
win95pts        | muchM_muchE     | 26.7574         | 0.1677          | MEM_OUT        
andes           | fewM_fewE       | 69.9448         | 6.6952          | MEM_OUT        
andes           | fewM_muchE      | 27.8551         | 1.5484          | MEM_OUT        
andes           | muchM_fewE      | T/O             | 13.1544         | MEM_OUT        
andes           | muchM_muchE     | T/O             | 40.2293         | MEM_OUT        
link            | fewM_fewE       | T/O             | T/O             | MEM_OUT        
link            | fewM_muchE      | 11.1324         | 17.5618         | MEM_OUT        
link            | muchM_fewE      | T/O             | T/O             | MEM_OUT        
link            | muchM_muchE     | T/O             | T/O             | MEM_OUT 
pathfinder      | fewM_fewE       | T/O             | T/O             | MEM_OUT        
pathfinder      | fewM_muchE      | 47.5431         | T/O             | MEM_OUT 
pathfinder      | muchM_fewE      | T/O             | T/O             | MEM_OUT        
pathfinder      | muchM_muchE     | T/O             | T/O             | MEM_OUT
munin2          | fewM_fewE       | T/O             | 154.1187        | MEM_OUT      
munin2          | fewM_muchE      | T/O             | 32.9308         | MEM_OUT        
munin2          | muchM_fewE      | T/O             | T/O             | MEM_OUT       
munin2          | muchM_muchE     | T/O             | T/O             | MEM_OUT       



MAP RERUN:
===============================================================================================
Model           | Tier            | Ganak-Spam (s)  | DPMC (s)        | Var. Elim (s)  
-----------------------------------------------------------------------------------------------
asia            | fewM_fewE       | 0.1834          | 0.0748          | 0.0030         
asia            | fewM_muchE      | 0.1797          | 0.0714          | 0.0030         
asia            | muchM_fewE      | 0.7182          | 0.0759          | 0.0029         
asia            | muchM_muchE     | 0.7417          | 0.0807          | 0.0034         
cancer          | fewM_fewE       | 0.2024          | 0.0792          | 0.0023         
cancer          | fewM_muchE      | 0.2068          | 0.0801          | 0.0024         
cancer          | muchM_fewE      | 0.8459          | 0.0824          | 0.0025         
cancer          | muchM_muchE     | 0.8714          | 0.0858          | 0.0025         
sachs           | fewM_fewE       | 8.3395          | 0.0976          | 0.0033         
sachs           | fewM_muchE      | 2.0143          | 0.1018          | 0.0034         
sachs           | muchM_fewE      | 38.3548         | 0.1112          | 0.0035         
sachs           | muchM_muchE     | 5.6485          | 0.1129          | 0.0039         
alarm           | fewM_fewE       | 26.6711         | 0.1222          | 0.0088         
alarm           | fewM_muchE      | 10.5801         | 0.1279          | 0.0243         
alarm           | muchM_fewE      | 157.3874 (2 TO) | 0.2177          | 0.0092         
alarm           | muchM_muchE     | 101.3631 (1 TO) | 0.2548          | 0.0214         
child           | fewM_fewE       | 6.8319          | 0.0992          | 0.0043         
child           | fewM_muchE      | 6.0924          | 0.1077          | 0.0057         
child           | muchM_fewE      | 61.3588         | 0.1830          | 0.0052         
child           | muchM_muchE     | 24.9272         | 0.1152          | 0.0057         
water           | fewM_fewE       | 9.9118          | 8.1533          | 0.1806         
water           | fewM_muchE      | 3.7778          | 27.2304 (1 TO)  | 0.3737
water           | muchM_fewE      | 61.2913         | 27.4039         | 1.8512         
water           | muchM_muchE     | 41.9621         | 71.6464 (2 TO)  | 1.5497         
barley          | fewM_fewE       | T/O             | 53.6582 (4 TO)  | 1.1557 (2 MO)  
barley          | fewM_muchE      | T/O             | T/O             | MEM_OUT        
barley          | muchM_fewE      | T/O             | 84.4924 (4 TO)  | 1.6215 (3 MO)  
barley          | muchM_muchE     | T/O             | T/O             | MEM_OUT        
hailfinder      | fewM_fewE       | 157.7028 (2 TO) | 32.9722         | 0.0839         
hailfinder      | fewM_muchE      | 59.1246         | 89.3839         | MEM_OUT        
hailfinder      | muchM_fewE      | T/O             | 9.9103 (3 TO)   | 0.1874         
hailfinder      | muchM_muchE     | T/O             | 25.9340 (2 TO)  | MEM_OUT        
win95pts        | fewM_fewE       | 11.2615         | 0.1463          | 0.0133         
win95pts        | fewM_muchE      | 1.8123          | 0.1514          | MEM_OUT        
win95pts        | muchM_fewE      | 158.6017        | 0.1459          | 0.0154         
win95pts        | muchM_muchE     | 16.2576         | 0.1797          | MEM_OUT   
andes           | fewM_fewE       | 64.0927         | 2.0757          | MEM_OUT        
andes           | fewM_muchE      | 30.3589         | 7.2545          | MEM_OUT        
andes           | muchM_fewE      | T/O             | 22.9142         | MEM_OUT        
andes           | muchM_muchE     | T/O             | 41.6754         | MEM_OUT        
link            | fewM_fewE       | 41.0586         | 123.7915 (3 TO) | MEM_OUT        
link            | fewM_muchE      | 5.5356          | 1.7961 (1 TO)   | MEM_OUT        
link            | muchM_fewE      | T/O             | 34.2202 (3 TO)  | MEM_OUT 
link            | muchM_muchE     | T/O             | T/O             | MEM_OUT     
munin2          | fewM_fewE       | 100.7380 (1 TO) | 114.1418 (3 TO) | MEM_OUT        
munin2          | fewM_muchE      | 66.9062         | 64.1954 (1 TO)  | MEM_OUT      
munin2          | muchM_fewE      | T/O             | 138.7965 (2 TO) | MEM_OUT 
munin2          | muchM_muchE     | T/O             | 77.2906 (1 TO)  | MEM_OUT  
munin           | fewM_fewE       | 159.6560        | 91.2913         | MEM_OUT        
munin           | fewM_muchE      | 31.1259         | 145.3872 (2 TO) | MEM_OUT      
munin           | muchM_fewE      | T/O             | 96.9087 (4 TO)  | MEM_OUT 
munin           | muchM_muchE     | T/O             | 161.3651 (2 TO) | MEM_OUT  
pathfinder      | fewM_fewE       | 46.7812         | T/O             | MEM_OUT 
pathfinder      | fewM_muchE      | 58.7025 (2 TO)  | T/O             | MEM_OUT
pathfinder      | muchM_fewE      | T/O             | T/O             | MEM_OUT
pathfinder      | muchM_muchE     | T/O             | T/O             | MEM_OUT   



scalability network: 
================================================================================
Network Attribute         | Parameter Value | sharpSAT Time (s)  | Clauses
================================================================================
Total Nodes               | 10              | 0.0064             | 232
Total Nodes               | 20              | 0.0095             | 500
Total Nodes               | 50              | 0.0881             | 1556
Total Nodes               | 70              | 0.4826             | 2208
Total Nodes               | 90              | 34.9750            | 2892
Total Nodes               | 100             | 55.5572            | 3200
Total Nodes               | 105             | 230.3759           | 3398
Total Nodes               | 110             | TIMEOUT            | 3664
--------------------------------------------------------------------------------
Max Parents (Density)     | 1               | 0.0078             | 412
Max Parents (Density)     | 2               | 0.0175             | 932
Max Parents (Density)     | 3               | 0.0836             | 2260
Max Parents (Density)     | 4               | 0.7271             | 4956
Max Parents (Density)     | 5               | 2.7777             | 11144
Max Parents (Density)     | 6               | 3.5884             | 23468
Max Parents (Density)     | 7               | 19.3003            | 50032
Max Parents (Density)     | 8               | 100.2304           | 110768
Max Parents (Density)     | 9               | 290.8656           | 208164
Max Parents (Density)     | 10              | TIMEOUT            | 460828
--------------------------------------------------------------------------------
States per Node           | 2               | 0.0166             | 868
States per Node           | 3               | 0.0780             | 2688
States per Node           | 4               | 5.4603             | 6562
States per Node           | 5               | 15.1316            | 12585
States per Node           | 6               | 29.8131            | 22332
States per Node           | 7               | TIMEOUT            | 35429
States per Node           | 8               | TIMEOUT            | 44902
States per Node           | 9               | TIMEOUT            | 71427
================================================================================





def get_tier_display(times, statuses):
    valid_times = [t for t, s in zip(times, statuses) if s == "SUCCESS"]
    
    # Count the failures
    mem_outs = statuses.count("MEM_OUT")
    timeouts = statuses.count("T/O")
    errs = statuses.count("ERR")
    
    if not valid_times:
        if mem_outs > 0: return "MEM_OUT"
        if timeouts > 0: return "T/O"
        return "ERR"
        
    avg = sum(valid_times) / len(valid_times)
    
    # If there are a mix of successes and failures, show the average AND the failure count
    if mem_outs > 0:
        return f"{avg:.4f} ({mem_outs} MO)"
    if timeouts > 0:
        return f"{avg:.4f} ({timeouts} TO)"
        
    return f"{avg:.4f}"

